search URL:,https://patents.google.com/?assignee=Amazon+Technologies%252c+Inc.&before=priority:20200101&after=priority:20120101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2920701-B1,Dynamic selection of storage tiers ,Amazon Technologies Inc.,Nathan Bartholomew THOMAS,2012-11-13,2013-11-12,2020-07-22,2020-07-22,https://patents.google.com/patent/EP2920701B1/en,https://patentimages.storage.googleapis.com/46/f4/1c/935edfb35d236d/imgf0001.png
EP-3353677-B1,Device selection for providing a response ,Amazon Technologies Inc.,"James David MEYERS, Arlen DEAN, Yue Liu, Arindam Mandal, Daniel Miller, Shah Samir PRAVINCHANDRA",2015-09-21,2016-09-20,2020-11-04,2020-11-04,https://patents.google.com/patent/EP3353677B1/en,https://patentimages.storage.googleapis.com/9f/6c/c1/d54c4b3cfbe140/imgf0001.png
EP-3347894-B1,Arbitration between voice-enabled devices ,Amazon Technologies Inc.,"Ramya Gopalan, Shiva Kumar Sundaram",2015-09-11,2016-09-08,2020-04-08,2020-04-08,https://patents.google.com/patent/EP3347894B1/en,https://patentimages.storage.googleapis.com/00/ca/8a/7e725cf2ea56de/imgf0001.png
EP-3357192-B1,Network-based resource configuration discovery service ,Amazon Technologies Inc.,"Hariharan Subramanian, David Samuel Zipkin, Derek Avery Lyon, Cristian Gabriel Gafton",2015-09-30,2016-09-30,2021-01-27,2021-01-27,https://patents.google.com/patent/EP3357192B1/en,https://patentimages.storage.googleapis.com/bb/bc/ea/f18054d7c80d97/imgf0001.png
EP-3440505-B1,Borderless display with curved edges ,Amazon Technologies Inc.,"Weihsin Hou, Robert A. SPRAUGE, Chin S. KHOR, Siddharth Gupta",2016-04-06,2017-04-04,2020-11-04,2020-11-04,https://patents.google.com/patent/EP3440505B1/en,https://patentimages.storage.googleapis.com/5c/09/1a/3362207c8a2936/imgf0001.png
EP-3314606-B1,Language model speech endpointing ,Amazon Technologies Inc.,"Bjorn HOFFMEISTER, Ariya RASTROW, Baiyang Liu",2015-06-29,2016-06-27,2019-05-22,2019-05-22,https://patents.google.com/patent/EP3314606B1/en,https://patentimages.storage.googleapis.com/64/dd/48/d270a53c636ec2/imgf0001.png
US-10102040-B2,Adjusting variable limit on concurrent code executions ,"Amazon Technologies, Inc","Dylan Owen Marriner, Mauricio Roman, Marc John Brooker, Julian Embry Herwitz, Sean Reque",2016-06-29,2016-06-29,2018-10-16,2018-10-16,https://patents.google.com/patent/US10102040B2/en,https://patentimages.storage.googleapis.com/bb/b8/88/945600edb8850e/US10102040-20181016-D00000.png
US-10771939-B1,Orientation of directional antennas using horizontal position information ,"Amazon Technologies, Inc","Daniel Buchmueller, Ronald Joseph Degges, Jr., Jin Dong Kim, Gur Kimchi, Sang Eun Lee, Subram Narasimhan, Koohyun Um",2015-05-13,2018-10-30,2020-09-08,2020-09-08,https://patents.google.com/patent/US10771939B1/en,https://patentimages.storage.googleapis.com/b0/e6/54/71fe63ee2894a1/US10771939-20200908-D00000.png
US-9858927-B2,Processing spoken commands to control distributed audio outputs ,"Amazon Technologies, Inc","Robert Williams, Steven Todd Rabuchin, Gregory Michael Hart",2016-02-12,2016-03-29,2018-01-02,2018-01-02,https://patents.google.com/patent/US9858927B2/en,https://patentimages.storage.googleapis.com/21/a3/1f/5a15a1b166d7ad/US09858927-20180102-D00000.png
EP-3271819-B1,Executing commands within virtual machine instances ,Amazon Technologies Inc.,Wesley Gavin KING,2015-03-20,2016-03-16,2019-09-04,2019-09-04,https://patents.google.com/patent/EP3271819B1/en,https://patentimages.storage.googleapis.com/fa/76/45/d5510209f7fd95/imgf0001.png
EP-3265383-B1,Landing of unmanned aerial vehicles on moving transportation vehicles for transport ,Amazon Technologies Inc.,"Daniel Buchmueller, Scott A. Green, Atishkumar Kalyan, Gur Kimchi",2015-03-02,2016-03-01,2019-05-08,2019-05-08,https://patents.google.com/patent/EP3265383B1/en,https://patentimages.storage.googleapis.com/4f/9f/1e/0900a4862e9a45/imgf0001.png
EP-3254434-B1,Security protocols for low latency execution of program code ,Amazon Technologies Inc.,"Timothy Allen WAGNER, Dylan Chandler THOMAS, Ajay Nair",2015-02-04,2016-02-02,2019-10-09,2019-10-09,https://patents.google.com/patent/EP3254434B1/en,https://patentimages.storage.googleapis.com/8a/7c/19/b3553e6514677e/imgf0001.png
EP-3256290-B1,"Modular, multi-function smart storage containers ",Amazon Technologies Inc.,"Jeremiah David BRAZEAU, Morris Choun CHUNG, Eric James FITTING, Vikas Reddy Enti Ranga REDDY, Lisa Michelle GOLDMAN, Gavin Cotter",2015-02-13,2016-01-29,2020-04-08,2020-04-08,https://patents.google.com/patent/EP3256290B1/en,https://patentimages.storage.googleapis.com/6a/87/4f/109969fe0e27ad/imgf0001.png
EP-3234945-B1,Application focus in speech-based systems ,Amazon Technologies Inc.,"Peter Spalding VANLUND, Kurt Wesley PIERSOL, James David MEYERS, Jacob Michael SIMPSON, Vikram Kumar GUNDETI, David Robert THOMAS, Andrew Christopher MILES",2014-12-19,2015-12-11,2020-04-22,2020-04-22,https://patents.google.com/patent/EP3234945B1/en,https://patentimages.storage.googleapis.com/48/e2/31/316f7ee9d0e550/imgf0001.png
US-10098265-B2,Cooling system with desiccant dehumidification ,Amazon Technologies Inc.,"Richard Chadwick Towner, John William Eichelberg, Michael Phillip Czamara, Osvaldo P. Morales",2013-05-16,2016-10-03,2018-10-09,2018-10-09,https://patents.google.com/patent/US10098265B2/en,https://patentimages.storage.googleapis.com/39/ec/5a/bc43e9bd103119/US10098265-20181009-D00000.png
EP-3201768-B1,Programmatic event detection and message generation for requests to execute program code ,Amazon Technologies Inc.,Timothy Allen Wagner,2014-09-30,2015-09-29,2019-12-04,2019-12-04,https://patents.google.com/patent/EP3201768B1/en,https://patentimages.storage.googleapis.com/f3/9d/84/2a00d4999157c1/imgf0001.png
EP-3078179-B1,Data transfer optimizations ,Amazon Technologies Inc.,"Sean Anthony Fahey, Brent James Hill",2013-12-03,2014-12-02,2020-09-02,2020-09-02,https://patents.google.com/patent/EP3078179B1/en,https://patentimages.storage.googleapis.com/be/5a/66/64a2084e52adcd/imgf0001.png
EP-3180786-B1,Voice application architecture ,Amazon Technologies Inc.,"Vikas Jain, Rohan Mutagi, Peter Paul Henri CARBON",2014-08-11,2015-07-20,2018-05-02,2018-05-02,https://patents.google.com/patent/EP3180786B1/en,https://patentimages.storage.googleapis.com/c4/99/65/19db5dce36f0e1/imgf0001.png
US-10095663-B2,Delivery and display of page previews during page retrieval events ,"Amazon Technologies, Inc.","Rohit Krishna Kumar, Scott Zachary Bressler, Ivan King Yu Sham, Ian William Stewart, Brett Richard Taylor, Peter Frank Hill, Aakarsh Nair, Steven Michael Reddie, Patrick Joseph Armstrong, Samuel John Young, Ameet Nirmal Vaswani, Andrew Lynch Hayden",2012-11-14,2013-03-15,2018-10-09,2018-10-09,https://patents.google.com/patent/US10095663B2/en,https://patentimages.storage.googleapis.com/e4/25/58/b56f9baed28869/US10095663-20181009-D00000.png
