search URL:,https://patents.google.com/?assignee=Tesla%252c+Inc.&before=priority:20200101&after=priority:20120101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9701210-B2,Cooling of charging cable ,"Tesla, Inc.","Yee Shan WOO, Christopher H. Van Dyke, Joseph Mardall, Christopher Newport, Joshua Willard Ferguson",2014-02-05,2016-03-21,2017-07-11,2017-07-11,https://patents.google.com/patent/US9701210B2/en,https://patentimages.storage.googleapis.com/03/39/ae/d83cdc44f5af70/US09701210-20170711-D00000.png
US-8970237-B2,Wire break detection in redundant communications ,"Tesla Motors, Inc.","Nathaniel Brian Martin, Ian Casimir Dimen, Samuel Douglas Crowder",2012-05-07,2012-08-12,2015-03-03,2015-03-03,https://patents.google.com/patent/US8970237B2/en,https://patentimages.storage.googleapis.com/e3/13/c6/d5658eb92c1085/US08970237-20150303-D00000.png
US-9688252-B2,Battery swapping system and techniques ,"Tesla, Inc.","Eric Orlando GAFFOGLIO, Alan Clarke, Matthew Lee Brown",2014-04-23,2015-04-23,2017-06-27,2017-06-27,https://patents.google.com/patent/US9688252B2/en,https://patentimages.storage.googleapis.com/78/e9/6e/2e589930b112d3/US09688252-20170627-D00000.png
US-10295355-B2,Trip planning with energy constraint ,"Tesla, Inc.","Andrew D. Baglino, Thorsten Hayer, Brennan Boblett, Matthew Fox, Vineet H. Mehta, Keijiro Ikebe, Kevin Hsieh, Craig B. Carlson, Jeffrey B. Straubel",2014-04-04,2015-03-19,2019-05-21,2019-05-21,https://patents.google.com/patent/US10295355B2/en,https://patentimages.storage.googleapis.com/25/09/e6/ce28d0cb15f90c/US10295355-20190521-D00000.png
US-9197091-B2,Charge rate optimization ,"Tesla Motors, Inc.","Clay H. Kishiyama, Kurt R. Kelty",2012-05-18,2015-01-26,2015-11-24,2015-11-24,https://patents.google.com/patent/US9197091B2/en,https://patentimages.storage.googleapis.com/44/e3/fb/be2ce38e7e0a00/US09197091-20151124-D00000.png
US-9527403-B2,Charging station providing thermal conditioning of electric vehicle during charging session ,"Tesla Motors, Inc.","Joseph Mardall, Christopher H. Van Dyke",2014-04-29,2014-04-29,2016-12-27,2016-12-27,https://patents.google.com/patent/US9527403B2/en,https://patentimages.storage.googleapis.com/14/8e/aa/cfa75627e0b4a1/US09527403-20161227-D00000.png
US-10344877-B2,Multi-port valve with multiple operation modes ,"Tesla Motors, Inc.","Nicholas Albert Roche, Joseph Stratford Maxwell Mardall, Jan Kopitz, Curt Raymond O'Donnell",2015-12-01,2016-11-30,2019-07-09,2019-07-09,https://patents.google.com/patent/US10344877B2/en,https://patentimages.storage.googleapis.com/04/48/57/1f10096642825c/US10344877-20190709-D00000.png
US-9694699-B2,Low temperature fast charge of battery pack ,"Tesla, Inc.","Kurt R. Kelty, Clay H. Kishiyama, Sarah G. Stewart",2012-03-09,2014-11-21,2017-07-04,2017-07-04,https://patents.google.com/patent/US9694699B2/en,https://patentimages.storage.googleapis.com/f1/bc/fc/8bc32927e5a4ae/US09694699-20170704-D00000.png
US-9761919-B2,Energy storage system with heat pipe thermal management ,"Tesla, Inc.","Robert C. Lane, Hae-won Choi, Jeff Weintraub, Carlos Mario Aguirre, Mark Riegel, Orion A. King, Nathan Chidiac, Jon Wagner, Augusto E. Barton, Ernest Villanueva, David Rosenberg",2014-02-25,2014-02-25,2017-09-12,2017-09-12,https://patents.google.com/patent/US9761919B2/en,https://patentimages.storage.googleapis.com/83/b7/6b/76d64dd967f1ab/US09761919-20170912-D00000.png
US-9257729-B2,Response to over-current in a battery pack ,"Tesla Motors, Inc.","Weston A. Hermann, Scott I. Kohn",2012-01-05,2013-11-25,2016-02-09,2016-02-09,https://patents.google.com/patent/US9257729B2/en,https://patentimages.storage.googleapis.com/c8/5c/c7/41be55bb297ab9/US09257729-20160209-D00000.png
